Référence du projet;Méthode;Nom du projet;RE potentielles (tCO2);RE vérifiées (tCO2);Région administrative;Demandeur;Date de notification;Date de labelisation;Financé à
15909822;Reboisement;Oklima-Forêt-Cestas;8779;0;Nouvelle Aquitaine;Oklima;22/01/2024;18/03/2026;0.00 %
27602602;Boisement;Alliance Forêts Bois / GCF n°745 - Orthez 2 (64);1021;0;Nouvelle Aquitaine;Alliance Forêts bois;07/11/2025;18/03/2026;0.00 %
21042161;Boisement;SYLVO/UNISYLVA-N°14-Yzeure (03);939;0;Auvergne Rhône Alpes;UNISYLVA;18/11/2024;18/03/2026;0.00 %
27614355;Boisement;Alliance Forêts Bois / GCF n°749 - Serres-Sainte-Marie 2 (64);399;0;Nouvelle Aquitaine;Alliance Forêts bois;07/11/2025;18/03/2026;0.00 %
27291347;Boisement;Alliance Forêts Bois / GCF n°692 - Lupersat 1 (23);602;0;Nouvelle Aquitaine;Alliance Forêts bois;21/10/0202;18/03/2026;0.00 %
13495169;Construction;8 logements sociaux écologiques dans le Pas de calais : haute performance énergétique et bas carbone;100;0;Hauts-de-France;SAS FONCIERE CHENELET;25/07/2023;16/03/2026;0.00 %
25943699;Reboisement;ONF - reboisement en forêt domaniale de Saint Michel 2;2885;0;Hauts-de-France;OFFICE NATIONAL DES FORETS BOURGOGNE FRANCHE COMTE;27/02/2025;16/03/2026;0.00 %
27585652;Boisement;CLAIRFAYTS - Fransylva services;1497;0;Hauts-de-France;Fransylva Services ;06/11/2025;16/03/2026;0.00 %
21459376;Reboisement;SF²X4C_BONTIN_R1;1762;0;Bourgogne Franche Comté;SOCIETE FORESTIERE;13/12/2024;12/03/2026;0.00 %
27369151;Haies;Haies du Petit Mocquepoix;307;0;Centre Val de Loire;Le Printemps des Terres S.A.S;26/10/2025;11/03/2026;0.00 %
20878884;Ville arborée;SF²X4C_Avenue Pierre de Coubertin_GAM;115;0;Auvergne Rhône Alpes;SOCIETE FORESTIERE;06/11/2024;10/03/2026;60.00 %
26167401;Boisement;Ecotree - Bretagne (56) - 07;1500;0;Bretagne;Ecotree;04/09/2025;10/03/2026;88.20 %
26832948;Boisement;SYLVO/Forêt d'ici - 19 BRIMEUX (62);1416;0;Hauts-de-France;Forêts & Bois de l'Est;01/10/2025;09/03/2026;0.00 %
19650858;Grandes Cultures;ReSoil - 2025 - Projet France - n°1;3067;0;Hauts-de-France;ReSoil;30/08/2024;09/03/2026;16.86 %
25807586;Ville arborée;Guichet carbone n°1 : Jardin du Wasserloch à Oberhausbergen;30;0;Grand Est;Agence du climat, le guichet des solutions;14/08/2025;06/03/2026;32.00 %
28261090;Boisement;SYLVO/UNISYLVA-N°28-Aubigny sur Nère (18700);2505;0;Centre Val de Loire;UNISYLVA;15/12/2025;06/03/2026;0.00 %
21832456;Boisement;SYLVO/UNISYLVA-N°16-Revercourt (28);2640;0;Centre Val de Loire;UNISYLVA;10/01/2025;06/03/2026;0.00 %
21778798;Boisement;Oklima - Boisement à Grézet-Cavagnan;1140;0;Nouvelle Aquitaine;Oklima;08/01/2025;03/03/2026;0.00 %
26418132;Boisement;Alliance Forêt Bois / GCF n°676 - Anzex 2 (47) ;1653;0;Nouvelle Aquitaine;Alliance Forêts bois;15/09/2025;03/03/2026;0.00 %
27516679;Reboisement;Carbonapp n°341 Reboisement La Roche-Chalais (24);1272;0;Nouvelle Aquitaine;Carbonapp SAS;03/11/2025;03/03/2026;100.00 %
22238197;Boisement;SYLVO/Coopérative CFBL n°20 - LAMAZIERE BASSE (19);823;0;Nouvelle Aquitaine;CFBL Coopérative Forestière;31/01/2025;03/03/2026;0.00 %
26422415;Boisement;Alliance Forêt Bois / GCF n°686 - Val de Virvée 1 (33) ;1820;0;Nouvelle Aquitaine;Alliance Forêts bois;15/09/2025;03/03/2026;0.00 %
21408680;Boisement;Oklima - Forêt de Bussac-forêt;854;0;Nouvelle Aquitaine;Oklima;10/12/2024;03/03/2026;0.00 %
26381077;Boisement;Bellac - Fransylva services;1919;0;Nouvelle Aquitaine;Fransylva Services ;12/09/2025;03/03/2026;0.00 %
26539293;Boisement;Alliance Forêt Bois / GCF n°700 - Donnezac 1 (33);697;0;Nouvelle Aquitaine;Alliance Forêts bois;19/09/2025;03/03/2026;0.00 %
21460580;Reboisement;SF²X4C_PETITMONTARNU_R1;10899;0;Bourgogne Franche Comté;SOCIETE FORESTIERE;13/12/2024;02/03/2026;0.00 %
