Référence du projet;Méthode;Nom du projet;RE potentielles (tCO2);RE vérifiées (tCO2);Région administrative;Demandeur;Date de notification;Date de labelisation;Financé à
26818892;Boisement;SYLVO/Forêt d'ici - 18 VILLEFARGEAU (89);479;0;Bourgogne Franche Comté;Forêts & Bois de l'Est;01/10/2025;31/12/2025;0.00 %
16402598;Reboisement;Reforest'Action - Faverges (74);505;0;Auvergne Rhône Alpes;REFOREST'ACTION;20/02/2024;31/12/2025;0.00 %
19285196;Grandes Cultures;ReSoil - Tereos 2025 - Hauts de France - n°1 -S;3187;0;Hauts-de-France;ReSoil;01/08/2024;19/12/2025;0.00 %
26496448;Gestion forestière à stock continu;La Belle Forêt - Lihue - 62;10513;0;Hauts-de-France;La Belle Forêt ;17/09/2025;19/12/2025;0.00 %
22095717;Boisement;CNPF C+for n° 225 Tour de France 2025 Wirwignes (A.S.O. n° 37);667;0;Hauts-de-France;Olivier GLEIZES;24/01/2025;19/12/2025;100.00 %
26007720;Gestion forestière à stock continu;La Belle Forêt - Bois de l'Hôpital - 60;17468;0;Hauts-de-France;La Belle Forêt ;15/09/2025;19/12/2025;0.00 %
19285637;Grandes Cultures;ReSoil - Tereos 2025 - Hauts de France et Centre Val de Loire - n°2 ;9961;0;Hauts-de-France;ReSoil;01/08/2024;19/12/2025;9.29 %
23417022;Boisement;CNPF C+for n° 238 Ergny & Wicquinghem (MTECT n° 5);2427;0;Hauts-de-France;Olivier GLEIZES;25/07/2025;19/12/2025;100.00 %
22096433;Reboisement;CNPF C+for n° 227 Tour de France 2025 Merville (A.S.O. n° 39);364;0;Hauts-de-France;Olivier GLEIZES;24/01/2025;19/12/2025;100.00 %
26485066;Gestion forestière à stock continu;La Belle Forêt - Boursault - 51;65824;0;Grand Est;La Belle Forêt ;16/05/2025;19/12/2025;0.00 %
20995414;Boisement;OKLIMA - Saint-Vaast-lès-Mello;989;0;Hauts-de-France;Oklima;14/11/2024;19/12/2025;0.00 %
25655717;Gestion forestière à stock continu;La Belle Forêt - Avricourt - 60;13735;0;Hauts-de-France;La Belle Forêt ;16/05/2025;19/12/2025;0.00 %
25652341;Gestion forestière à stock continu;La Belle Forêt - Pivotins - 58;2579;0;Bourgogne Franche Comté;La Belle Forêt ;16/05/2025;18/12/2025;0.00 %
26783561;Reboisement;SYLVO/Forêt d'ici - 11 Enchenberg (57);1562;0;Grand Est;Forêts & Bois de l'Est;30/09/2025;18/12/2025;0.00 %
25652443;Gestion forestière à stock continu;La Belle Forêt - Soueilles - 58;16704;0;Bourgogne Franche Comté;La Belle Forêt ;16/05/2025;18/12/2025;0.00 %
27413335;Boisement;Carbonapp n°339 Boisement Maupas (32);850;0;Occitanie;Carbonapp SAS;28/10/2025;18/12/2025;100.00 %
22042235;Boisement;CNPF C+for n° 190 Ganties (ENGIE Solutions n° 5);517;0;Occitanie;Olivier GLEIZES;22/01/2025;18/12/2025;100.00 %
26324028;Boisement;Alliance Forêts Bois / GCF n°615 - La Salvetat-sur-Agout 1 (34);1093;0;Occitanie;Alliance Forêts bois;10/09/2025;18/12/2025;0.00 %
25652119;Gestion forestière à stock continu;La Belle Forêt - Vevre - 21;4540;0;Bourgogne Franche Comté;La Belle Forêt ;16/06/2025;16/12/2025;0.00 %
20854911;Boisement;OKLIMA - Forêt à Soulgé-sur-Ouette ;1091;0;Pays de la Loire;Oklima;05/11/2024;16/12/2025;0.00 %
25653076;Gestion forestière à stock continu;La Belle Forêt - Fours - 58;4136;0;Bourgogne Franche Comté;La Belle Forêt ;16/05/2025;16/12/2025;0.00 %
12948544;CarbonAgri;STOCK CO2 n°267 - Pays de la Loire (85);2811;0;Pays de la Loire;;26/06/2023;16/12/2025;0.00 %
20973393;Reboisement;Alliance Forêt Bois / GCF -  Lacaune 5 (81) - 2024 n° 519;514;0;Occitanie;Alliance Forêts bois;13/11/2024;16/12/2025;0.00 %
20645982;Boisement;Alliance Forêt Bois / GCF - Le Houga 1 (32) - 2024 n° 500;894;0;Occitanie;Alliance Forêts bois;22/10/2024;16/12/2025;0.00 %
27117572;Reboisement;Carbonapp n°334 Reboisement Dainville-Bertheléville 3 (55);4651;0;Grand Est;Carbonapp SAS;13/10/2025;15/12/2025;0.00 %
26237806;Boisement;SYLVO/Forêt d'ici - 12 Tromborn/Oberdorff (57);861;0;Grand Est;Forêts & Bois de l'Est;30/09/2025;15/12/2025;0.00 %
21550003;Reboisement;SF2X4C_LUE_ R2;8427;0;Nouvelle Aquitaine;SOCIETE FORESTIERE;19/12/2024;12/12/2025;0.00 %
20247429;Boisement;Projet Néosylva - Nouvelle-Aquitaine (64) - 2CHST-123;1000;0;Nouvelle Aquitaine;NEOSYLVA INVESTISSEMENT FORESTIER;01/10/2024;12/12/2025;0.00 %
22050798;Boisement;Alliance Forêts Bois / GCF n° 574 - Genissac (33);3628;0;Nouvelle Aquitaine;Alliance Forêts bois;22/01/2025;12/12/2025;0.00 %
21528590;Boisement;Alliance Forêt Bois / GCF - Saint-Maixant 1 (33) - 2024 n° 553;1137;0;Nouvelle Aquitaine;Alliance Forêts bois;18/12/2024;12/12/2025;0.00 %
20116725;Boisement;SYLVO/UNISYLVA-N°10-Limoges (87);1876;0;Nouvelle Aquitaine;UNISYLVA;25/09/2024;12/12/2025;0.00 %
25336782;Boisement;OKLIMA - Forêt de Bouelles;889;0;Normandie;Oklima;15/07/2025;11/12/2025;0.00 %
27225133;Boisement;CNPF C+for n° 235 Barenton (la Poste n° 32);923;0;Normandie;Olivier GLEIZES;17/10/2025;11/12/2025;100.00 %
25642398;Gestion forestière à stock continu;La Belle Forêt - Leyde - 03;7912;0;Auvergne Rhône Alpes;La Belle Forêt ;16/06/2025;11/12/2025;0.00 %
19616597;Grandes Cultures;Projet Méthavertse - Carbone Farmers;6913;0;Nouvelle Aquitaine;Carbone Farmers;28/08/2024;08/12/2025;24.70 %
22096366;Boisement;CNPF C+for n° 233 Tour de France 2025 Cannes-et-Clairan (A.S.O. n° 45);1031;0;Occitanie;Olivier GLEIZES;24/01/2025;04/12/2025;100.00 %
20553077;Boisement;Projet Néosylva - Occitanie (32) - 2GAYR-124;1232;0;Occitanie;NEOSYLVA INVESTISSEMENT FORESTIER;16/10/2024;04/12/2025;0.00 %
21088345;Boisement;Alliance Forêt Bois / GCF - Montesquieu (82) - 2024 n° 529;795;0;Occitanie;Alliance Forêts bois;20/11/2024;04/12/2025;0.00 %
16249941;Reboisement;Alliance Forêts Bois/ GCF n °383 Mirandol-Bourgnounac  ;1137;0;Occitanie;Alliance Forêts bois;12/02/2024;04/12/2025;0.00 %
20900519;CarbonAgri;STOCK CO2 n°183 - Pays de la Loire (85);4728;0;Pays de la Loire;;08/11/2024;02/12/2025;0.00 %
17370344;Boisement;Oklima-Forêt-Ygos-Saint-Saturnin;3156;0;Nouvelle Aquitaine;Oklima;12/04/2024;02/12/2025;0.00 %
20995684;Boisement;OKLIMA - Forêt d'Argenton;1135;0;Nouvelle Aquitaine;Oklima;14/11/2024;02/12/2025;0.00 %
20779215;Reboisement;Reboisement post incendie de la forêt de Condrine - Tranche 2;12958;0;Nouvelle Aquitaine;Forestry France;30/10/2024;02/12/2025;0.00 %
18205357;Grandes Cultures;Carbone Farmers - Centre Val de Loire - 2nd projet collectif;68339;0;Centre Val de Loire;Carbone Farmers;05/06/2024;28/11/2025;59.02 %
22352988;Boisement;Alliance Forêts Bois / GCF n°583 -  Issepts (46);155;0;Occitanie;Alliance Forêts bois;06/02/2025;27/11/2025;0.00 %
25652954;Gestion forestière à stock continu;La Belle Forêt - Coques - 58;4136;0;Bourgogne Franche Comté;La Belle Forêt ;16/05/2025;27/11/2025;0.00 %
19553251;Grandes Cultures;Cerfrance Gascogne Occitane x ReSoil - 2025 - n°2;3854;0;Occitanie;ReSoil;23/08/2024;27/11/2025;0.00 %
25654562;Gestion forestière à stock continu;La Belle Forêt - Menou - 58;11295;0;Bourgogne Franche Comté;La Belle Forêt ;16/05/2025;27/11/2025;0.00 %
22476881;Haies;Les haies du Petit Peplain;350;0;Occitanie;Le Printemps des Terres S.A.S;13/02/2025;27/11/2025;100.00 %
25654155;Gestion forestière à stock continu;La Belle Forêt - Maugenet - 58;9150;0;Bourgogne Franche Comté;La Belle Forêt ;16/05/2025;27/11/2025;0.00 %
20840335;Boisement;Alliance Forêt Bois / GCF - Cazaubon 1 (32) - 2024 n° 511;749;0;Occitanie;Alliance Forêts bois;04/11/2024;27/11/2025;0.00 %
25655581;Gestion forestière à stock continu;La Belle Forêt - Beaumont - 51;14079;0;Grand Est;La Belle Forêt ;16/05/2025;27/11/2025;0.00 %
24785257;Haies;Haies de Lézignac;184;0;Occitanie;Le Printemps des Terres S.A.S;16/06/2025;27/11/2025;100.00 %
17249285;Reboisement;Alliance Forêts Bois / GCF n°421 Lacaze 2 (81);495;0;Occitanie;Alliance Forêts bois;05/04/2024;27/11/2025;0.00 %
25654347;Gestion forestière à stock continu;La Belle Forêt - Motte et Torcy - 71;8093;0;Bourgogne Franche Comté;La Belle Forêt ;16/08/2025;27/11/2025;0.00 %
26341887;Gestion forestière à stock continu;La Belle Forêt - Bois du Luth et du Perché - 51;2830;0;Grand Est;La Belle Forêt ;11/09/2025;18/11/2025;0.00 %
26432851;Gestion forestière à stock continu;La Belle Forêt - Humégnil - 10;23804;0;Grand Est;La Belle Forêt ;16/05/2025;18/11/2025;0.00 %
17050266;Reboisement;SF2X4C_MONSEIGNE_R1;1388;0;Occitanie;SOCIETE FORESTIERE;28/03/2024;18/11/2025;0.00 %
25651453;Gestion forestière à stock continu;La Belle Forêt - Creney - 10;24695;0;Grand Est;La Belle Forêt ;16/05/2025;17/11/2025;0.00 %
26003353;Gestion forestière à stock continu;La Belle Forêt - Champfétu - 89;9362;0;Bourgogne Franche Comté;La Belle Forêt ;16/05/2025;17/11/2025;0.00 %
17326217;Boisement;BOISEMENT_COURS LES BAINS_SOCOGEF_P34;422;0;Nouvelle Aquitaine;SASU SOCOGEF;10/04/2024;14/11/2025;0.00 %
18692125;Grandes Cultures;Carbone Farmers - Agriculture régénérative R25 – Premier projet collectif - Référence 21-22-23;82384;0;Hauts-de-France;Carbone Farmers;28/06/2024;14/11/2025;0.00 %
21956959;Boisement;Alliance Forêts Bois / GCF n°569  Reignac (33);9551;0;Nouvelle Aquitaine;Alliance Forêts bois;16/01/2025;14/11/2025;0.00 %
20840637;Boisement;Alliance Forêt Bois / GCF -  Simorre 1 (32) - 2024 n° 513;536;0;Occitanie;Alliance Forêts bois;04/11/2024;14/11/2025;0.00 %
23257492;Boisement;Alliance Forêts Bois / GCF n°600 - Laffite (82);849;0;Occitanie;Alliance Forêts bois;25/03/2025;14/11/2025;0.00 %
16975498;Reboisement;SF2X4C_CARAMAN_R1;1245;0;Occitanie;SOCIETE FORESTIERE;21/03/2024;14/11/2025;90.00 %
21047468;Boisement;Alliance Forêt Bois / GCF - Beaumarchés 1 (32) - 2024 n° 528;259;0;Occitanie;Alliance Forêts bois;18/11/2024;14/11/2025;0.00 %
24393661;Rénovation;Brec en centre-ville;10;0;Nouvelle Aquitaine;INVESTIR ENSEMBLE NOUVELLE AQUITAINE 1;23/05/2025;14/11/2025;0.00 %
21517195;Plantation de vergers;Coopérative Carbone-ACCLENA Verger à St-Vivien-de-Monségur (33);236;0;Nouvelle Aquitaine;COOPERATIVE CARBONE;17/12/2024;14/11/2025;0.00 %
20477553;Boisement;Alliance Forêt Bois / GCF - Montestruc-sur-Gers 1 (32) - 2024 n° 492;570;0;Occitanie;Alliance Forêts bois;11/10/2024;14/11/2025;0.00 %
20372866;Reboisement;Ecotree - Bretagne (29) - 08;723;0;Bretagne;Ecotree;07/10/2024;13/11/2025;0.00 %
21196716;Reboisement;Oklima - forêt - Saint Angel;1258;0;Nouvelle Aquitaine;Oklima;27/11/2024;12/11/2025;0.00 %
21422980;Boisement;Oklima - Forêt de Baurech;469;0;Nouvelle Aquitaine;Oklima;11/12/2024;12/11/2025;0.00 %
22110104;Boisement;CNPF C+for n° 188 Saint-Seurin-de-Bourg (Teréga n° 12);4199;0;Nouvelle Aquitaine;Olivier GLEIZES;24/01/2025;12/11/2025;100.00 %
17370114;Reboisement;STOCK CO2 n°394 - Nouvelle Aquitaine (33);1400;0;Nouvelle Aquitaine;;12/04/2024;12/11/2025;0.00 %
22410577;Boisement;Alliance Forêts Bois / GCF n°586 - Nassiet (40);3107;0;Nouvelle Aquitaine;Alliance Forêts bois;10/02/2025;12/11/2025;0.00 %
23300488;Boisement;SYLVO/UNISYLVA-N°23-Brou (28160);456;0;Centre Val de Loire;UNISYLVA;27/03/2025;07/11/2025;0.00 %
26791812;Reboisement;SYLVO/Forêt d'ici - 13 Azoudange (57);924;0;Grand Est;Forêts & Bois de l'Est;30/09/2025;07/11/2025;0.00 %
25640009;Gestion forestière à stock continu;La Belle Forêt - Mauboux - 58;21946;0;Bourgogne Franche Comté;La Belle Forêt ;16/05/2025;06/11/2025;0.00 %
25654679;Gestion forestière à stock continu;La Belle Forêt - Flogny - 89;11856;0;Bourgogne Franche Comté;La Belle Forêt ;16/05/2025;06/11/2025;0.00 %
25653183;Gestion forestière à stock continu;La Belle Forêt - Limanton - 58;12843;0;Bourgogne Franche Comté;La Belle Forêt ;16/08/2025;06/11/2025;0.00 %
24421170;Reboisement;ONF_REBOISEMENT_FC_NIVIGNE_ET_SURAN_1;945;0;Auvergne Rhône Alpes;Office National des forêts;26/05/2025;05/11/2025;100.00 %
24421488;Reboisement;ONF_REBOISEMENT_FC_NURIEUX_1;764;0;Auvergne Rhône Alpes;Office National des forêts;26/05/2025;05/11/2025;100.00 %
21417952;Boisement;ONF_BOISEMENT_FC_BELLEVILLES_2;199;0;Auvergne Rhône Alpes;Office National des forêts;11/12/2024;04/11/2025;100.00 %
25327761;Gestion forestière à stock continu;La Belle Forêt - Hautes Bruyères - 78;16683;0;Ile de France;La Belle Forêt ;16/05/2025;04/11/2025;0.00 %
21268801;Boisement;Alliance Forêt Bois / GCF - Villefranche-du-Périgord (24) - 2024 n° 540;271;0;Nouvelle Aquitaine;Alliance Forêts bois;02/12/2024;04/11/2025;0.00 %
17442926;Boisement;SYLVO/Forêt d'ici - Noues de Sienne (14);3401;0;Normandie;Coopérative Nord Seine Forêt Aménagement Approvisionnement;16/04/2024;03/11/2025;0.00 %
22546229;Boisement;Alliance Forêt Bois / GCF - Linac (46) - 2024 n° 541;571;0;Occitanie;Alliance Forêts bois;03/12/2024;03/11/2025;0.00 %
17446521;Boisement;SYLVO/Forêt d'Ici - 6 Beauval-en-Caux;5132;0;Normandie;Coopérative Nord Seine Forêt Aménagement Approvisionnement;16/04/2024;03/11/2025;0.00 %
22096021;Boisement;CNPF C+for n° 228 Tour de France 2025 Gournay-en-Bray (A.S.O. n° 40);921;0;Normandie;Olivier GLEIZES;25/01/2025;03/11/2025;100.00 %
20050870;Boisement;Alliance Forêt Bois / GCF n°480 - Gratot (50);628;0;Normandie;Alliance Forêts bois;20/09/2024;03/11/2025;0.00 %
20724388;Boisement;Projet Néosylva - Pays de la Loire (72) - 2BRES-124;5855;0;Pays de la Loire;NEOSYLVA INVESTISSEMENT FORESTIER;27/10/2024;31/10/2025;0.00 %
19168047;Reboisement;OKLIMA - Forêt de Vaubert - Bailleul Neuville;7289;0;Normandie;Oklima;24/07/2024;31/10/2025;0.00 %
22133195;Boisement;OKLIMA - Forêt de Congé-sur-Orne et Ballon-Saint Mars;4210;0;Pays de la Loire;Oklima;27/01/2025;31/10/2025;90.00 %
20581360;Boisement;SYLVO/UNISYLVA-N°13-Sully la Chapelle (45);622;0;Centre Val de Loire;UNISYLVA;17/10/2024;29/10/2025;0.00 %
22433371;Boisement;OKLIMA - Forêt - Montpezat-sous-Bauzon - 07560;2455;0;Auvergne Rhône Alpes;Oklima;11/02/2025;27/10/2025;0.00 %
19481221;Grandes Cultures;SysFarm - Projet Hauts-de-France N°25;7353;0;Hauts-de-France;SAS SYSFARM;31/08/2023;20/10/2025;0.00 %
24420711;Boisement;ONF_BOISEMENT_FC_TREVOUX_1;2237;0;Auvergne Rhône Alpes;Office National des forêts;26/05/2025;20/10/2025;100.00 %
19598336;Grandes Cultures;AGROcarbone 2024;5602;0;Hauts-de-France;COOPERATIVE AGRICOLE AGORA;27/08/2024;20/10/2025;0.00 %
22294020;Boisement;Carbonapp n°331 Boisement Auxi-le-Chateau (62);4072;0;Hauts-de-France;Carbonapp SAS;03/02/2025;20/10/2025;0.00 %
17319775;Boisement;BOISEMENT D'ANCIENNES FRICHES _ SAINT-CHRISTOPHE-DE-DOUBLE _ SOCOGEF _ P27;931;0;Nouvelle Aquitaine;SASU SOCOGEF;10/04/2024;17/10/2025;0.00 %
19047743;Grandes Cultures;Ocealia 2024 Grandes cultures;2049;0;Nouvelle Aquitaine;Oklima;25/07/2024;17/10/2025;0.00 %
21965013;Reboisement;Oklima - forêt - Louchats/Origne;45869;0;Nouvelle Aquitaine;Oklima;17/01/2025;17/10/2025;0.00 %
18385531;Boisement;Coopérative Carbone - ACCLENA n°16 Boisement à Bahus-Soubiran (40);836;0;Nouvelle Aquitaine;Fransylva Services ;17/06/2024;17/10/2025;0.00 %
19586822;Grandes Cultures;ReSoil - Tereos 2025 - Grand-Est et Ile de France - bis;10824;0;Grand Est;ReSoil;27/08/2025;17/10/2025;0.00 %
22294806;Boisement;Carbonapp n°332 Boisement Casteljaloux (47);418;0;Nouvelle Aquitaine;Carbonapp SAS;03/02/2025;17/10/2025;100.00 %
17980600;Grandes Cultures;OKLIMA - Séquestration carbone en exploitations agricoles, Beauce;39058;0;Centre Val de Loire;Oklima;11/06/2024;17/10/2025;2.00 %
20516208;Reboisement;Alliance Forêt Bois / GCF - La Teste-de-Buch 13 (33) - 2024 n° 494;3552;0;Nouvelle Aquitaine;Alliance Forêts bois;14/10/2024;17/10/2025;0.00 %
20646397;Boisement;Alliance Forêt Bois / GCF - Lias-d'Armagnac 1 (32) - 2024 n° 503;3668;0;Occitanie;Alliance Forêts bois;22/10/2024;14/10/2025;0.00 %
20395394;Reboisement;STOCK CO2 n°375 - Grand Est (57);40691;0;Grand Est;;08/10/2024;14/10/2025;0.00 %
21171184;Boisement;Alliance Forêt Bois / GCF - Reignac (33) - 2024 n° 533;1250;0;Nouvelle Aquitaine;Alliance Forêts bois;26/11/2024;14/10/2025;0.00 %
20604372;Boisement;OKLIMA - Forêt-De-La-Chapelle-Bertrand;1357;0;Nouvelle Aquitaine;Oklima;18/10/2024;14/10/2025;0.00 %
23217905;Reboisement;Alliance Forêts Bois / GCF n°592 - Saint Magne (33);2934;0;Nouvelle Aquitaine;Alliance Forêts bois;24/03/2025;14/10/2025;0.00 %
21034419;Reboisement;Alliance Forêts Bois / GCF- Parentis-en-Born (40) -2024 n°526;909;0;Nouvelle Aquitaine;Alliance Forêts bois;18/11/2024;14/10/2025;0.00 %
20395673;Reboisement;STOCK CO2 n°376 - Grand Est (57);13633;0;Grand Est;;08/10/2024;14/10/2025;0.00 %
21337046;Reboisement;OKLIMA - Forêt de Châtrices et Braux-Saint-Remy;4842;0;Grand Est;Oklima;05/12/2024;14/10/2025;0.00 %
25757135;Reboisement;Reboisement Bois de la Sivrite ;101;0;Grand Est;Quentin Castille;18/09/2025;14/10/2025;100.00 %
20646218;Boisement;Alliance Forêt Bois / GCF - Panjas 2 (32) - 2024 n° 502;441;0;Occitanie;Alliance Forêts bois;22/10/2024;14/10/2025;0.00 %
23257398;Boisement;Alliance Forêts Bois / GCF n°601 - Cazaubon 2 (32);731;0;Occitanie;Alliance Forêts bois;25/03/2025;14/10/2025;0.00 %
18774454;Boisement;Alliance Forêts Bois / GCF n° 451 - Magescq (40);818;0;Nouvelle Aquitaine;Alliance Forêts bois;02/07/2024;14/10/2025;0.00 %
21106405;Boisement;Alliance Forêt Bois / GCF - Gensac (33) - 2024 n° 532;594;0;Nouvelle Aquitaine;Alliance Forêts bois;21/11/2024;14/10/2025;0.00 %
20464973;Boisement;Alliance Forêt Bois / GCF - Garganvillar 2 (82) - 2024 n° 491;3519;0;Occitanie;Alliance Forêts bois;11/10/2024;14/10/2025;0.00 %
22302551;Boisement;Salis;2394;0;Nouvelle Aquitaine;Le Printemps des Terres S.A.S;04/02/2025;14/10/2025;0.00 %
18682989;CarbonAgri;FCAA_APAL_2_GE;14473;0;Grand Est;FCAA;27/06/2025;13/10/2025;62.18 %
22457706;Reboisement;Oklima_foret de Cros de Géorand_07510;963;0;Auvergne Rhône Alpes;Oklima;12/02/2025;10/10/2025;0.00 %
19787823;Reboisement;SF²X4C_JOIGNY_R2;2395;0;Bourgogne Franche Comté;SOCIETE FORESTIERE;06/09/2024;10/10/2025;0.00 %
19261337;Grandes Cultures;ReSoil - 2025 - Auvergne Rhône Alpes - n°2;1731;0;Auvergne Rhône Alpes;ReSoil;30/07/2024;10/10/2025;30.96 %
22472556;Boisement;CNPF C+for n° 221 Assé-le-Bérenger (Deloitte France n° 5);2081;0;Pays de la Loire;Olivier GLEIZES;12/02/2024;09/10/2025;100.00 %
22454932;Reboisement;Oklima-Reboisement post-dépérissement à Sury aux Bois (Loiret);246;0;Centre Val de Loire;Oklima;12/02/2025;03/10/2025;0.00 %
23257011;Boisement;Alliance Forêts Bois / GCF n°597 - Ceton (61);627;0;Normandie;Alliance Forêts bois;25/03/2025;03/10/2025;0.00 %
22151102;Boisement;CNPF C+for n° 220 Magny-le-Désert (Chloé n° 4);406;0;Normandie;Olivier GLEIZES;27/01/2025;02/10/2025;100.00 %
20731224;Reboisement;Projet Néosylva - Centre-Val-de-Loire (37) - 2PEBU-123;189;0;Centre Val de Loire;NEOSYLVA INVESTISSEMENT FORESTIER;28/10/2024;30/09/2025;0.00 %
22193748;Boisement;Alliance Forêts Bois / GCF n°578 -  Borderes et Lamensans (40);1165;0;Nouvelle Aquitaine;Alliance Forêts bois;29/01/2025;29/09/2025;0.00 %
19849905;Boisement;OKLIMA-forêt-Chounerat (SOS);1062;0;Nouvelle Aquitaine;Oklima;10/09/2024;29/09/2025;0.00 %
20685577;Boisement;Alliance Forêt Bois / GCF - Saint-Gein (40) - 2024 n° 504;439;0;Nouvelle Aquitaine;Alliance Forêts bois;24/10/2024;29/09/2025;0.00 %
18504205;Reboisement;MaForêt #80 - Hostens et Louchats (33);2742;0;Nouvelle Aquitaine;Actiforest;24/06/2024;29/09/2025;0.00 %
20918093;Boisement;Alliance Forêt Bois / GCF -  Orthez (64) - 2024 n° 518;1320;0;Nouvelle Aquitaine;Alliance Forêts bois;08/11/2024;29/09/2025;0.00 %
19782571;Reboisement;Alliance Forêt Bois / GCF - Louchats 5 (33) - 2024 n° 467;4784;0;Nouvelle Aquitaine;Alliance Forêts bois;06/09/2024;29/09/2025;0.00 %
18967556;Grandes Cultures;STOCK CO2 n°119 - Bourgogne Franche Comté (21);2285;0;Bourgogne Franche Comté;;11/07/2024;29/09/2025;0.00 %
19453026;Grandes Cultures;SysFarm - Projet Auvergne Rhône Alpes N°24;2467;0;Auvergne Rhône Alpes;SAS SYSFARM;31/08/2023;26/09/2025;0.00 %
21444926;Boisement;Forêt de la Pardude;2390;0;Auvergne Rhône Alpes;Le Printemps des Terres S.A.S;12/12/2024;26/09/2025;0.00 %
21547916;Plantation de vergers;PLANTATION VERGER DE NOISETTES;1011;0;Bourgogne Franche Comté;EXPLOITATION INDIVIDUELLE;19/12/2024;26/09/2025;0.00 %
22312515;Boisement;Alliance Forêts Bois / GCF n°582 -  Abzac (33);2249;0;Nouvelle Aquitaine;Alliance Forêts bois;04/02/2025;24/09/2025;0.00 %
19584130;Grandes Cultures;SysFarm - Projet Centre Val de Loire N°28;111;0;Centre Val de Loire;SAS SYSFARM;31/08/2023;24/09/2025;0.00 %
22500096;Reboisement;Atmosylva n°20 - Reboisemet Meymac (19);1154;0;Nouvelle Aquitaine;ATMOSYLVA;14/02/2025;24/09/2025;0.00 %
20277019;Reboisement;SF2X4C_LA ROCHE CHALAIS_R3;920;0;Nouvelle Aquitaine;SOCIETE FORESTIERE;02/10/2024;24/09/2025;90.00 %
20860893;Boisement;Alliance Forêt Bois / GCF - Plougonven 1 (29) - 2024 n° 517;262;0;Bretagne;Alliance Forêts bois;05/11/2024;18/09/2025;0.00 %
20740147;Boisement;BOISEMENT D'ANCIENNES VIGNES _ SAUVETERRE-DE-GUYENNE _ SOCOGEF _ P60;2906;0;Nouvelle Aquitaine;SASU SOCOGEF;28/10/2024;17/09/2025;0.00 %
19867052;Reboisement;Alliance Forêt Bois / GCF - Condéon (16) - n° 472;208;0;Nouvelle Aquitaine;Alliance Forêts bois;10/09/2024;15/09/2025;0.00 %
21406283;Boisement;STOCK CO2 n°385 - Centre Val de Loire (37);3846;0;Centre Val de Loire;;10/12/2024;15/09/2025;0.00 %
15011170;Boisement;SYLVO/Coopérative CFBL n°03 - LA CELLE-DUNOISE (23);545;0;Nouvelle Aquitaine;CFBL Coopérative Forestière;19/04/2024;15/09/2025;100.00 %
19867812;Reboisement;Alliance Forêt Bois / GCF - Chillac (16) - n° 473;341;0;Nouvelle Aquitaine;Alliance Forêts bois;11/09/2024;12/09/2025;0.00 %
22447999;Reboisement;OKLIMA - Forêt de La Teste-de-Buch (16,4ha);3669;0;Nouvelle Aquitaine;Oklima;11/02/2025;12/09/2025;57.00 %
24478633;Boisement;SYLVO/Coopérative CFBL n°25 - LA CELLE-DUNOISE-bis (23);585;0;Nouvelle Aquitaine;CFBL Coopérative Forestière;01/01/2025;12/09/2025;0.00 %
22040971;Boisement;La Gane;1999;0;Nouvelle Aquitaine;Le Printemps des Terres S.A.S;21/01/2025;12/09/2025;100.00 %
22468418;Boisement;Alliance Forêts Bois / GCF n° 587- Peujard (33) ;547;0;Nouvelle Aquitaine;Alliance Forêts bois;12/02/2025;12/09/2025;0.00 %
18794787;Reboisement;Alliance Forêts Bois / GCF n° 453 - Saint-Magne (33);3883;0;Nouvelle Aquitaine;Alliance Forêts bois;03/07/2024;12/09/2025;0.00 %
22291229;Reboisement;OKLIMA - Forêt de La Teste-de-Buch;18113;0;Nouvelle Aquitaine;Oklima;03/02/2025;12/09/2025;21.00 %
23257203;Boisement;Alliance Forêts Bois / GCF n°602 - Villenave de Rions (33);1253;0;Nouvelle Aquitaine;Alliance Forêts bois;25/03/2025;12/09/2025;0.00 %
21310636;Boisement;SYLVO/Coopérative CFBL n°17 - COULANDON (03);601;0;Auvergne Rhône Alpes;CFBL Coopérative Forestière;04/12/2024;10/09/2025;0.00 %
16973340;Reboisement;SF2X4C_ESCOUBILHAC_R1;3194;0;Occitanie;SOCIETE FORESTIERE;21/03/2024;09/09/2025;0.00 %
22032054;Boisement;Alliance Forêts Bois / GCF n° 572 - La Coulonche (61);264;0;Normandie;Alliance Forêts bois;21/01/2025;08/09/2025;0.00 %
23256857;Boisement;Alliance Forêts Bois / GCF n°605 - Longny-les-Villages (61);468;0;Normandie;Alliance Forêts bois;25/03/2025;08/09/2025;0.00 %
13790630;Grandes Cultures;SECALIA _vague_3;8906;0;Bourgogne Franche Comté;SOC Coopérative Agricole Dijon Céréales;28/08/2023;08/09/2025;0.00 %
23256704;Boisement;Alliance Forêts Bois / GCF n°595 - Gaillon (27);362;0;Normandie;Alliance Forêts bois;25/03/2025;08/09/2025;0.00 %
23257743;Boisement;Alliance Forêts Bois / GCF n°598 - Les Monts d'Andaines (61);300;0;Normandie;Alliance Forêts bois;25/03/2025;08/09/2025;0.00 %
18892090;Ville arborée;SF²X4C_Ecole du Bois du Verne & Parc Maugrand;31;0;Bourgogne Franche Comté;SOCIETE FORESTIERE;27/08/2024;08/09/2025;0.00 %
23256859;Boisement;Alliance Forêts Bois / GCF n°596 - Brehal (50);636;0;Normandie;Alliance Forêts bois;25/03/2025;08/09/2025;0.00 %
